信息_链接,岗位名称,薪水,技能关键词,标签,工作经验,学历要求,工作地点,公司名称,公司信息,公司标签,其它信息,最低薪资,最高薪资,薪资单位,年薪月数,平均月薪,公司类型,公司规模,所属行业,城市,区域
http://www.zhaopin.com/jobdetail/CC364485720J40823317605.htm?refcode=4019&srccode=401903&preactionid=fef741e5-c73b-4e16-81f6-93d4fb261120,H81160岗 python工具开发,8000-10000元,Python 工具开发 Jenkins,Python,1-3年,本科,西安·雁塔·漳浒寨,武汉佰钧成技术有限责任公司,民营 1000-9999人 软件/IT服务,薛美敬·高级HR,今日回复50+次,8000.0,10000.0,元,12.0,9000.0,民营,1000-9999人,软件/IT服务,西安,雁塔
http://www.zhaopin.com/jobdetail/CC229365810J40863422405.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python工程师,7000-10000元,,,1-3年,大专,成都·金牛·沙河源,金仁医药,民营 1000-9999人 综合商贸,陈先生·人力资源负责人,高回复率,7000.0,10000.0,元,12.0,8500.0,民营,1000-9999人,综合商贸,成都,金牛
http://www.zhaopin.com/jobdetail/CCL1350701010J40868643013.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python工程师,1-2万,Python Django Flask Vue,Python,3-5年,本科,成都·锦江·锦官驿,国城科技(成都)有限公司,民营 20-99人 信息安全,李女士·hr,今日活跃,10000.0,20000.0,万,12.0,15000.0,民营,20-99人,信息安全,成都,锦江
http://www.zhaopin.com/jobdetail/CCL1452448830J40792958016.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,python工程师,5000-8000元·13薪,,,经验不限,本科,成都·武侯·桂溪,四川星峰景晨科技有限公司,民营 20-99人 产业互联网平台,范川梅·人事招聘专员,高回复率,5000.0,8000.0,元,13.0,6500.0,民营,20-99人,产业互联网平台,成都,武侯
http://www.zhaopin.com/jobdetail/CCL1258199680J40787712507.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python工程师（中高级）,1.1-2.2万,,,3-5年,本科,成都·郫都·犀浦,四川国路安数据技术有限公司,民营 20-99人 云计算,高女士·人事行政主管,昨日活跃,11000.0,22000.0,万,12.0,16500.0,民营,20-99人,云计算,成都,郫都
http://www.zhaopin.com/jobdetail/CC133636200J40998230104.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,软件研发工程师（成都：C++、C#、Java、Python、Web前端）(J10355),1.2-2万,C++ Java Python,C++,经验不限,硕士,成都·青羊·文家,北京全路通信信号研究设计院集团有限公司,国企 1000-9999人 轨道交通制造,许女士·人事经理,今日活跃,12000.0,20000.0,万,12.0,16000.0,国企,1000-9999人,轨道交通制造,成都,青羊
http://www.zhaopin.com/jobdetail/CC000544460J40382499616.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python开发工程师,8000-16000元,PyCharm PYTHON开发 Flask,PyCharm,1-3年,本科,成都·郫都·合作街道,软通动力信息技术(集团)股份有限公司,上市公司 10000人以上 软件/IT服务,姚依佳·HR,12小时内回复可能性大,8000.0,16000.0,元,12.0,12000.0,上市公司,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CCL1480117890J40614950605.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,java/c++/C/Python/前端开发工程师,1.5-3万·14薪,JavaScript Python C++,JavaScript,经验不限,本科,成都·郫都·合作街道,外企德科数字技术有限公司,合资 10000人以上 软件/IT服务,王博·人力资源招聘顾问,3日内活跃,15000.0,30000.0,万,14.0,22500.0,合资,10000人以上,软件/IT服务,成都,郫都
http://www.zhaopin.com/jobdetail/CC134310320J40776198006.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python系统测试工程师（外企/不加班/包三餐）,1.5-1.7万,Python Windows 测试开发 Windows测试,Python,3-5年,本科,成都·郫都·合作街道,新拓尼克科技研发中心 / Syntronic Beijing R&D Center,外商独资 500-999人 通信运营商/电信增值服务,马欢·HR,16小时前有回复,15000.0,17000.0,万,12.0,16000.0,外商独资,500-999人,通信运营商/电信增值服务,成都,郫都
http://www.zhaopin.com/jobdetail/CC430413510J40862909913.htm?refcode=4019&srccode=401903&preactionid=740651ca-6662-42b5-af21-84051fcc4cec,Python中级全栈工程师,1.5-1.8万,Django Flask MySQL Oracle Redis,Django,3-5年,本科,成都·成华·龙潭,成都开方数据科技有限公司,民营 300-499人 计算机硬件,段员·人事经理,6小时内回复可能性大,15000.0,18000.0,万,12.0,16500.0,民营,300-499人,计算机硬件,成都,成华
